Well_ID,Vp,K0,Gsat,phi,perm,GR,saturated_to_dry,V_ratio,K_delta,sand_proportion,X,Y
44,2134.46728515,35.26590086263158,2.1972208320625,0.24054569605555556,463.2069958793082,42.6070793768421,2.3011698826708074,2.244137198340699,6.075748394647058,0.6243558,79.0,168.0
45,2234.6993581904762,37.05418162944444,3.0364568484736845,0.2262339131111111,545.2196941947402,30.1088376355,2.0559033209702493,2.0429508104218495,5.2345794913,0.6238266,42.0,96.0
46,2079.7786926500003,37.55702362,2.3946843326,0.25221198610526313,800.3882449718817,26.893856059500003,2.2787900423849443,2.0984215763290415,4.771012292411765,0.6244775,69.0,131.0
47,1944.6311442857145,37.248246299444446,1.74600057,0.2832281053333333,1260.752423374613,27.977755854444446,2.551215057814733,2.214752311501128,4.163971477111111,0.6242126,32.0,181.0
48,2102.9802536666666,36.857887077499996,2.429110232866667,0.2447050746,749.4604696251585,31.28007346190476,2.159489577528405,2.107174871433684,4.990810575842105,0.6241324,66.0,72.0
49,2535.6682618,33.025522792941175,3.1520029545,0.1682957210952381,197.89479780827992,57.0671573685,1.910582208356921,2.197856197552658,7.068164488647059,0.623731,175.0,27.0
50,2534.1334595,32.125660123809524,3.084209508166667,0.1560904045,144.42424709868135,63.51720446944445,1.9236236484843052,2.2113433658981876,7.1700408010625,0.6236288,192.0,145.0
51,2441.0718355238096,35.8579868315,3.2405658608823527,0.18007704404761904,211.94773396551344,37.89651765894737,1.8594288450842251,2.045109409818477,6.600350590352941,0.6232187,181.0,86.0
52,2553.1950805,30.846004031428574,3.1116949633157898,0.16643436182352941,121.82465847985083,70.4246164105,2.081345139086443,2.2996518424550283,8.038483400777778,0.6227845,197.0,190.0
53,2638.38940425,31.56760065210526,3.2985653651428573,0.13682062363157893,95.6448388641443,64.362102805,1.9296764507033226,2.2531497794302773,7.76897813188889,0.62293106,170.0,62.0
54,2425.119698666667,35.43854994473684,3.1039113759,0.17917165210526315,176.9763214742585,45.864136504499996,1.8918076554641594,2.077350535324748,6.9322808235625,0.6236385,188.0,120.0
55,2723.803495952381,30.40055293095238,3.2954822837499997,0.13305753368421053,50.62921013889633,70.68504065900001,2.1289499659523763,2.3453833002159277,9.36282997964706,0.6236229,100.0,77.0
56,2446.8737214210523,32.07983589105263,2.772117464105263,0.1723845576,204.33531494682427,60.19601310095238,2.174348418197165,2.288541066126475,7.5440877548421055,0.62355816,131.0,165.0
57,2838.7591494761905,29.825293677619047,3.7151361306666666,0.1087261070952381,42.943404988971,76.86493275380953,2.001056864021805,2.3523243806946965,10.086056782375,0.6233674,117.0,103.0
58,2683.4202148,33.279617404999996,3.79874797868421,0.14072141505,139.4600523393744,59.40182672526316,2.042263140867322,2.2005293793914302,8.15857726415,0.6230815,148.0,136.0
59,2610.7580449523807,30.743107343684212,3.101233767111111,0.14494892785714286,75.40173917452786,67.192319873,2.1472500963173484,2.3824057372732153,9.02782425925,0.62414026,95.0,68.0
60,2517.86380015,31.7139421455,2.919476138894737,0.17811167288888888,172.70450794897508,61.50934603588236,2.166857538647509,2.287203214704783,7.754353780052632,0.6239582,141.0,157.0
61,2787.7912307142856,30.9069827847619,4.002469370210527,0.11996078519047619,57.132451395818904,70.82271923350001,1.948721333932984,2.2687909118916876,8.620347266500001,0.6233863,124.0,120.0
62,2872.5444801904764,30.30428725894737,3.8553802841578944,0.10984776975000002,33.68924843571072,74.30540641555555,2.042600970986976,2.3348007094283467,9.6171449815,0.6240075,109.0,91.0
63,2523.003437210526,33.18778499842106,3.3065892636000003,0.17652371570588235,185.88183267056272,59.166144807368426,1.953896268573006,2.2022592163318624,6.995560884588236,0.623339,154.0,178.0
64,2705.4380463809525,32.75481364473685,3.823150289736842,0.13388132410526316,94.88592040291338,59.04764165736842,2.011297168805506,2.225374187114698,8.229541064611112,0.6234745,106.0,140.0
65,2805.332339333333,31.306342653888887,3.595756348411765,0.12161758325000001,55.98218177600991,72.18537812,2.0369568419204773,2.31432135208723,9.1026263594,0.62331927,137.0,83.0
66,2484.059465619048,33.87065919166667,3.2563688755999998,0.18127312594444445,213.68208927442217,54.923247787499996,2.062068091990812,2.211168614999979,6.7853975669375,0.62332016,119.0,171.0
67,2672.7310850000003,30.319710580526316,3.111026895631579,0.13221292266666668,53.64629733301922,73.12271062761904,2.136832773598748,2.3678294581627113,8.819816688944444,0.6236928,97.0,114.0
68,2790.9622619499996,30.6865170485,3.5792444663529412,0.12094063299999999,54.03240953762571,68.57538925421053,1.9834629329103488,2.292378619677836,8.944154521,0.62306726,145.0,97.0
69,2736.8137904761907,31.553204085263157,3.6804468213999995,0.13974342578947369,70.30836546630916,67.90850354444444,2.0178378811400353,2.275754879722328,9.017660145631579,0.62384796,112.0,62.0
70,2583.1099548499997,32.91360563470588,3.380933767894737,0.15672366545,161.3636087028251,59.871335367368424,2.05815261028789,2.233770643436966,7.749289706578947,0.6231556,129.0,150.0
71,2522.04684455,32.85858907210527,3.0680109990555557,0.17615219777777777,182.71969127627486,58.07321997285714,2.0727112556524956,2.2288893657822717,6.7837749826666665,0.6233824,151.0,166.0
72,2266.4908389523807,35.326044178000004,2.657705580529412,0.20455071336842107,454.35558008825114,43.558573016500006,2.142440002703402,2.1425953582885064,5.803462129904762,0.6236981,23.0,94.0
73,1999.06823735,37.2517253875,2.0486441016,0.25279126078947367,902.3700644539282,29.173745017999998,2.29401025045738,2.1310540552233097,4.675183359470588,0.6241306,57.0,142.0
74,2227.251958904762,35.67680539526316,2.3127927661000003,0.23095758594117646,303.55387291876883,42.221030504210525,2.316510944502171,2.2242839714584393,6.094385405277778,0.62378395,80.0,61.0
75,1856.7931257142857,37.716852087894736,1.494784781736842,0.2975662860526316,1592.936975443183,26.9911904745,2.5292845483237945,2.210575941973944,4.131778703944445,0.6241076,45.0,187.0
76,2141.6939026,36.538012560588236,2.3372722148,0.2309478624,661.3195921590676,38.31271394777778,2.230032089458375,2.146569869429234,5.427186297222223,0.62379384,68.0,108.0
77,2332.7957276,35.722121027777774,2.819442894833333,0.20393768755555555,366.70304778879057,42.80122437047619,1.9583638778863894,2.1229206521120547,5.825882434705882,0.62361217,173.0,153.0
78,2870.4612862380955,30.728205681500004,3.9801907259411764,0.10926631257142856,32.868923661784095,74.97512021142857,1.9353456442530579,2.301360942054978,9.296558001764705,0.623346,103.0,71.0
79,2497.2011353499997,32.43364916833333,3.054850245894737,0.17300857894736843,192.0580965887616,58.895278795,2.090863119870933,2.2791924645382444,7.168913139374999,0.6235745,138.0,164.0
80,2855.494590473684,30.0418298725,3.622364470842105,0.10844888305263159,41.30106406785947,75.28502915894737,2.0466983424773826,2.3828005583979195,9.470785155117646,0.6238604,120.0,97.0
81,2653.4191059473683,33.40613227555556,3.40343081945,0.15487261895238094,136.71795133006853,55.9986068505,2.0816632472088057,2.2484210872952364,8.402642068947369,0.6230566,146.0,141.0
82,2674.3214645,31.177148532500002,3.7207292318947367,0.1357197727,76.50645551523783,62.69774288222223,1.9769512467548849,2.294371341996725,8.573479159333333,0.6237073,110.0,130.0
83,2529.98223,32.60419012368421,3.2764281715714287,0.16683917936842105,184.5800201431307,57.355681497,2.061174851603304,2.204969749933256,7.318159892875,0.62352026,153.0,175.0
